Country,term,estimate,std.error,statistic_term,pvalue_term,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
Northern Ireland,days,0.02527936221906883,0.0026194733756647118,9.650551310777875,2.703462229780072e-5,0.9300930745014181,0.9201063708587636,0.09438185484026368,93.13314060195653,2.703462229780082e-5,1,9.60412608825692,-13.208252176513842,-12.616578444505183,0.06235554166162024,7,9
Peru,(Intercept),3.179783841191965,0.08437885438103884,37.68460551541345,1.848503839831184e-27,0.9661048712703163,0.9650114800209717,0.2189528075761159,883.5856989429797,2.381840534024607e-24,1,4.330283370371224,-2.660566740742448,1.828955943656993,1.4861502903093728,31,33
Peru,days,0.08780534394893856,0.0029539055812980485,29.725169451879992,2.381840534024607e-24,0.9661048712703163,0.9650114800209717,0.2189528075761159,883.5856989429797,2.381840534024607e-24,1,4.330283370371224,-2.660566740742448,1.828955943656993,1.4861502903093728,31,33
Portugal,(Intercept),3.9802459624339335,0.13105322871152889,30.371216349008478,3.1960227912795275e-26,0.8067948245093237,0.8011123193478332,0.4460829562286423,141.9787226902768,1.0942078649545389e-13,1,-20.99192337141572,47.98384674283144,52.73440355819977,6.765660130481282,34,36
Portugal,days,0.041857608183968754,0.003512875643957913,11.915482478283323,1.0942078649545351e-13,0.8067948245093237,0.8011123193478332,0.4460829562286423,141.9787226902768,1.0942078649545389e-13,1,-20.99192337141572,47.98384674283144,52.73440355819977,6.765660130481282,34,36
Scotland,(Intercept),2.553330992002157,0.075476393211772,33.82953110700467,1.9216998458487016e-18,0.9232126879172514,0.919171250439212,0.19193854149196177,228.43671167347256,4.816653971108337e-12,1,5.915348263985855,-5.8306965279717105,-2.697129214801441,0.699967670491169,19,21
Scotland,days,0.02996814736208717,0.001982791030519724,15.114122921078575,4.8166539711082864e-12,0.9232126879172514,0.919171250439212,0.19193854149196177,228.43671167347256,4.816653971108337e-12,1,5.915348263985855,-5.8306965279717105,-2.697129214801441,0.699967670491169,19,21
Spain,(Intercept),4.154432290776813,0.10196197998688958,40.74491581382586,4.376674970914563e-31,0.9526685158349457,0.9513161877159442,0.37719470639608893,704.4655083696097,8.95115880046112e-25,1,-15.39791427836939,36.79582855673878,41.62858229467145,4.97965462866311,35,37
Spain,days,0.06021571891001321,0.0022687153453411226,26.541769126597597,8.951158800461184e-25,0.9526685158349457,0.9513161877159442,0.37719470639608893,704.4655083696097,8.95115880046112e-25,1,-15.39791427836939,36.79582855673878,41.62858229467145,4.97965462866311,35,37
Switzerland,(Intercept),3.081240699017898,0.0894521340288236,34.44569246414009,1.7037067202478468e-34,0.911024795281933,0.9090905517011054,0.3152375426219447,470.9979675321771,8.331888126445738e-26,1,-11.67503544994915,29.3500708998983,34.96367393262197,4.57123658080283,46,48
Switzerland,days,0.04821422916944736,0.0022215992048226292,21.702487588573273,8.331888126445738e-26,0.911024795281933,0.9090905517011054,0.3152375426219447,470.9979675321771,8.331888126445738e-26,1,-11.67503544994915,29.3500708998983,34.96367393262197,4.57123658080283,46,48
United States,(Intercept),2.8220803366199543,0.04975999700708185,56.71383654260099,1.693101310806723e-61,0.9893274664139061,0.9891792367807659,0.2199507027413423,6674.289380978413,9.809879201654802e-73,1,8.074346465692892,-10.148692931385785,-3.2364976517732735,3.483238437821543,72,74
United States,days,0.08680581673647747,0.0010625425027480369,81.69632415830233,9.809879201654802e-73,0.9893274664139061,0.9891792367807659,0.2199507027413423,6674.289380978413,9.809879201654802e-73,1,8.074346465692892,-10.148692931385785,-3.2364976517732735,3.483238437821543,72,74
Wales,(Intercept),2.5697095678338813,0.057869490984056325,44.40525610536067,8.066538613657365e-13,0.9403200734203886,0.9343520807624275,0.11142688109352941,157.56052785454222,1.9113132050650645e-7,1,10.39930708001559,-14.798614160031178,-13.343894210667177,0.12415949830231542,10,12
Wales,days,0.028754532951972132,0.002290775894114209,12.55231165381669,1.911313205065061e-7,0.9403200734203886,0.9343520807624275,0.11142688109352941,157.56052785454222,1.9113132050650645e-7,1,10.39930708001559,-14.798614160031178,-13.343894210667177,0.12415949830231542,10,12
